Country;  Dwellings without basic facilities;  Housing expenditure;  Rooms per person;  Household net adjusted disposable income;  Household net wealth;  Labour market insecurity;  Employment rate;  Long-term unemployment rate;  Personal earnings;  Quality of support network;  Educational attainment;  Student skills;  Years in education;  Air pollution;  Water quality;  Stakeholder engagement for developing regulations;  Voter turnout;  Life expectancy;  Self-reported health;  Life satisfaction;  Feeling safe walking alone at night;  Homicide rate;  Employees working very long hours;  Time devoted to leisure and personal care
Slovenia;0,40;18,00;1,50;20820,00;203044,00;5,80;69,00;3,17;34933,00;92,00;88,00;509,00;18,30;16,00;90,00;2,50;53,00;81,30;64,00;5,90;86,10;0,60;4,39;14,75
Spain;0,10;21,00;1,90;23999,00;373548,00;23,10;62,00;7,66;38507,00;93,00;59,00;491,00;17,90;11,00;72,00;1,80;70,00;83,40;72,00;6,30;82,10;0,60;4,01;15,93
Sweden;0,00;19,00;1,70;31287,00;..;3,20;77,00;1,12;42393,00;91,00;83,00;496,00;19,30;6,00;96,00;2,00;86,00;82,40;75,00;7,30;75,60;0,90;1,07;15,18
Switzerland;0,10;22,00;1,90;37466,00;..;..;80,00;1,82;62283,00;93,00;88,00;506,00;17,50;15,00;95,00;2,30;49,00;83,70;78,00;7,50;85,30;0,60;0,37;..
Turkey;8,00;20,00;1,00;..;..;12,50;52,00;2,39;..;86,00;39,00;425,00;18,30;20,00;65,00;1,50;86,00;78,00;69,00;5,50;59,80;1,40;32,64;14,79
United Kingdom;0,30;26,00;1,90;28715,00;548392,00;4,50;75,00;1,13;43732,00;94,00;81,00;500,00;17,50;11,00;84,00;3,10;69,00;81,20;69,00;6,80;77,70;0,20;12,15;14,92
United States;0,10;19,00;2,40;45284,00;632100,00;7,70;70,00;0,66;60558,00;91,00;91,00;488,00;17,20;10,00;83,00;3,10;65,00;78,60;88,00;6,90;73,90;5,50;11,09;14,44
OECD - Total;4,40;20,00;1,80;33604,00;408376,00;7,00;68,00;1,78;43241,00;89,00;78,00;486,00;17,20;14,00;81,00;2,40;68,00;80,20;69,00;6,50;68,40;3,70;11,01;14,98
Brazil;6,70;..;..;..;..;..;61,00;..;..;90,00;49,00;395,00;16,20;10,00;73,00;2,20;79,00;74,80;..;6,40;35,60;26,70;7,13;..
Russia;14,80;18,00;0,90;..;..;..;70,00;1,59;..;89,00;94,00;492,00;16,20;15,00;55,00;..;68,00;71,80;43,00;5,80;52,80;9,60;0,14;..
South Africa;37,00;18,00;..;..;..;..;43,00;16,46;..;88,00;73,00;..;..;22,00;67,00;..;73,00;57,50;..;4,70;36,10;13,70;18,12;14,92
